"year","zone","dwelling","count"
"2004","S01001790","All",0
"2005","S01001790","All",0
"2003","S01001790","All",0
"2002","S01001790","All",0
"1998","S01001790","All",0
"1999","S01001790","All",0
"2000","S01001790","All",0
"2001","S01001790","All",0
"1993","S01001790","All",1
"1994","S01001790","All",0
"1995","S01001790","All",0
"1996","S01001790","All",0
"1997","S01001790","All",0
"1980","S01001790","All",0
"1981","S01001790","All",0
"1982","S01001790","All",0
"1983","S01001790","All",0
"1984","S01001790","All",0
"1985","S01001790","All",0
"1986","S01001790","All",0
"1987","S01001790","All",0
"1988","S01001790","All",0
"1989","S01001790","All",1
"1990","S01001790","All",0
"1991","S01001790","All",1
"1992","S01001790","All",0
"1994","S01001790","Flat",0
"1987","S01001790","Flat",0
"1995","S01001790","Flat",0
"1996","S01001790","Flat",0
"1997","S01001790","Flat",0
"1988","S01001790","Flat",0
"1991","S01001790","Flat",1
"1980","S01001790","Flat",0
"1981","S01001790","Flat",0
"1989","S01001790","Flat",0
"1982","S01001790","Flat",0
"1992","S01001790","Flat",0
"1983","S01001790","Flat",0
"2004","S01001790","Flat",0
"1984","S01001790","Flat",0
"2005","S01001790","Flat",0
"1990","S01001790","Flat",0
"2003","S01001790","Flat",0
"1985","S01001790","Flat",0
"2002","S01001790","Flat",0
"1998","S01001790","Flat",0
"1999","S01001790","Flat",0
"1986","S01001790","Flat",0
"2000","S01001790","Flat",0
"2001","S01001790","Flat",0
"1993","S01001790","Flat",0
"1987","S01001790","House",0
"1994","S01001790","House",0
"2004","S01001790","House",0
"2000","S01001790","House",0
"1991","S01001790","House",0
"1985","S01001790","House",0
"1995","S01001790","House",0
"1996","S01001790","House",0
"2005","S01001790","House",0
"1988","S01001790","House",0
"1997","S01001790","House",0
"1990","S01001790","House",0
"1992","S01001790","House",0
"2001","S01001790","House",0
"1999","S01001790","House",0
"1980","S01001790","House",0
"1989","S01001790","House",1
"2003","S01001790","House",0
"1981","S01001790","House",0
"1993","S01001790","House",1
"1986","S01001790","House",0
"1982","S01001790","House",0
"2002","S01001790","House",0
"1998","S01001790","House",0
"1983","S01001790","House",0
"1984","S01001790","House",0
"2004","S01001791","All",0
"2005","S01001791","All",0
"2003","S01001791","All",1
"2002","S01001791","All",0
"1998","S01001791","All",0
"1999","S01001791","All",0
"2000","S01001791","All",0
"2001","S01001791","All",0
"1993","S01001791","All",0
"1994","S01001791","All",0
"1995","S01001791","All",1
"1996","S01001791","All",0
"1997","S01001791","All",0
"1980","S01001791","All",0
"1981","S01001791","All",0
"1982","S01001791","All",0
"1983","S01001791","All",0
"1984","S01001791","All",0
"1985","S01001791","All",0
"1986","S01001791","All",0
"1987","S01001791","All",0
"1988","S01001791","All",1
"1989","S01001791","All",0
"1990","S01001791","All",0
"1991","S01001791","All",0
"1992","S01001791","All",0
"1994","S01001791","Flat",0
"1987","S01001791","Flat",0
"1995","S01001791","Flat",1
"1996","S01001791","Flat",0
"1997","S01001791","Flat",0
"1988","S01001791","Flat",1
"1991","S01001791","Flat",0
"1980","S01001791","Flat",0
"1981","S01001791","Flat",0
"1989","S01001791","Flat",0
"1982","S01001791","Flat",0
"1992","S01001791","Flat",0
"1983","S01001791","Flat",0
"2004","S01001791","Flat",0
"1984","S01001791","Flat",0
"2005","S01001791","Flat",0
"1990","S01001791","Flat",0
"2003","S01001791","Flat",1
"1985","S01001791","Flat",0
"2002","S01001791","Flat",0
"1998","S01001791","Flat",0
"1999","S01001791","Flat",0
"1986","S01001791","Flat",0
"2000","S01001791","Flat",0
"2001","S01001791","Flat",0
"1993","S01001791","Flat",0
"1987","S01001791","House",0
"1994","S01001791","House",0
"2004","S01001791","House",0
"2000","S01001791","House",0
"1991","S01001791","House",0
"1985","S01001791","House",0
"1995","S01001791","House",0
"1996","S01001791","House",0
"2005","S01001791","House",0
"1988","S01001791","House",0
"1997","S01001791","House",0
"1990","S01001791","House",0
"1992","S01001791","House",0
"2001","S01001791","House",0
"1999","S01001791","House",0
"1980","S01001791","House",0
"1989","S01001791","House",0
"2003","S01001791","House",0
"1981","S01001791","House",0
"1993","S01001791","House",0
"1986","S01001791","House",0
"1982","S01001791","House",0
"2002","S01001791","House",0
"1998","S01001791","House",0
"1983","S01001791","House",0
"1984","S01001791","House",0
"2004","S01001792","All",1
"2005","S01001792","All",0
"2003","S01001792","All",1
"2002","S01001792","All",1
"1998","S01001792","All",3
"1999","S01001792","All",1
"2000","S01001792","All",0
"2001","S01001792","All",1
"1993","S01001792","All",1
"1994","S01001792","All",5
"1995","S01001792","All",2
"1996","S01001792","All",3
"1997","S01001792","All",4
"1980","S01001792","All",2
"1981","S01001792","All",4
"1982","S01001792","All",3
"1983","S01001792","All",9
"1984","S01001792","All",5
"1985","S01001792","All",2
"1986","S01001792","All",1
"1987","S01001792","All",3
"1988","S01001792","All",3
"1989","S01001792","All",7
"1990","S01001792","All",6
"1991","S01001792","All",3
"1992","S01001792","All",2
"1994","S01001792","Flat",0
"1987","S01001792","Flat",0
"1995","S01001792","Flat",0
"1996","S01001792","Flat",0
"1997","S01001792","Flat",1
"1988","S01001792","Flat",0
"1991","S01001792","Flat",0
"1980","S01001792","Flat",0
"1981","S01001792","Flat",0
"1989","S01001792","Flat",0
"1982","S01001792","Flat",0
"1992","S01001792","Flat",0
"1983","S01001792","Flat",0
"2004","S01001792","Flat",0
"1984","S01001792","Flat",0
"2005","S01001792","Flat",0
"1990","S01001792","Flat",1
"2003","S01001792","Flat",0
"1985","S01001792","Flat",0
"2002","S01001792","Flat",0
"1998","S01001792","Flat",0
"1999","S01001792","Flat",0
"1986","S01001792","Flat",0
"2000","S01001792","Flat",0
"2001","S01001792","Flat",0
"1993","S01001792","Flat",0
"1987","S01001792","House",3
"1994","S01001792","House",5
"2004","S01001792","House",1
"2000","S01001792","House",0
"1991","S01001792","House",3
"1985","S01001792","House",2
"1995","S01001792","House",2
"1996","S01001792","House",3
"2005","S01001792","House",0
"1988","S01001792","House",3
"1997","S01001792","House",3
"1990","S01001792","House",5
"1992","S01001792","House",2
"2001","S01001792","House",1
"1999","S01001792","House",1
"1980","S01001792","House",2
"1989","S01001792","House",7
"2003","S01001792","House",1
"1981","S01001792","House",4
"1993","S01001792","House",1
"1986","S01001792","House",1
"1982","S01001792","House",3
"2002","S01001792","House",1
"1998","S01001792","House",3
"1983","S01001792","House",9
"1984","S01001792","House",5
"2004","S01001793","All",0
"2005","S01001793","All",2
"2003","S01001793","All",2
"2002","S01001793","All",2
"1998","S01001793","All",5
"1999","S01001793","All",1
"2000","S01001793","All",2
"2001","S01001793","All",1
"1993","S01001793","All",2
"1994","S01001793","All",2
"1995","S01001793","All",1
"1996","S01001793","All",2
"1997","S01001793","All",3
"1980","S01001793","All",0
"1981","S01001793","All",3
"1982","S01001793","All",0
"1983","S01001793","All",3
"1984","S01001793","All",1
"1985","S01001793","All",2
"1986","S01001793","All",2
"1987","S01001793","All",1
"1988","S01001793","All",2
"1989","S01001793","All",3
"1990","S01001793","All",2
"1991","S01001793","All",4
"1992","S01001793","All",0
"1994","S01001793","Flat",1
"1987","S01001793","Flat",0
"1995","S01001793","Flat",1
"1996","S01001793","Flat",1
"1997","S01001793","Flat",3
"1988","S01001793","Flat",0
"1991","S01001793","Flat",3
"1980","S01001793","Flat",0
"1981","S01001793","Flat",2
"1989","S01001793","Flat",0
"1982","S01001793","Flat",0
"1992","S01001793","Flat",0
"1983","S01001793","Flat",1
"2004","S01001793","Flat",0
"1984","S01001793","Flat",0
"2005","S01001793","Flat",1
"1990","S01001793","Flat",2
"2003","S01001793","Flat",1
"1985","S01001793","Flat",1
"2002","S01001793","Flat",2
"1998","S01001793","Flat",3
"1999","S01001793","Flat",0
"1986","S01001793","Flat",1
"2000","S01001793","Flat",2
"2001","S01001793","Flat",1
"1993","S01001793","Flat",1
"1987","S01001793","House",1
"1994","S01001793","House",1
"2004","S01001793","House",0
"2000","S01001793","House",0
"1991","S01001793","House",1
"1985","S01001793","House",1
"1995","S01001793","House",0
"1996","S01001793","House",1
"2005","S01001793","House",1
"1988","S01001793","House",2
"1997","S01001793","House",0
"1990","S01001793","House",0
"1992","S01001793","House",0
"2001","S01001793","House",0
"1999","S01001793","House",1
"1980","S01001793","House",0
"1989","S01001793","House",3
"2003","S01001793","House",1
"1981","S01001793","House",1
"1993","S01001793","House",1
"1986","S01001793","House",1
"1982","S01001793","House",0
"2002","S01001793","House",0
"1998","S01001793","House",2
"1983","S01001793","House",2
"1984","S01001793","House",1
"2004","S01001794","All",0
"2005","S01001794","All",1
"2003","S01001794","All",3
"2002","S01001794","All",1
"1998","S01001794","All",2
"1999","S01001794","All",3
"2000","S01001794","All",0
"2001","S01001794","All",2
"1993","S01001794","All",1
"1994","S01001794","All",1
"1995","S01001794","All",3
"1996","S01001794","All",3
"1997","S01001794","All",5
"1980","S01001794","All",0
"1981","S01001794","All",11
"1982","S01001794","All",3
"1983","S01001794","All",4
"1984","S01001794","All",5
"1985","S01001794","All",4
"1986","S01001794","All",4
"1987","S01001794","All",5
"1988","S01001794","All",4
"1989","S01001794","All",7
"1990","S01001794","All",9
"1991","S01001794","All",7
"1992","S01001794","All",3
"1994","S01001794","Flat",0
"1987","S01001794","Flat",0
"1995","S01001794","Flat",0
"1996","S01001794","Flat",0
"1997","S01001794","Flat",0
"1988","S01001794","Flat",0
"1991","S01001794","Flat",0
"1980","S01001794","Flat",0
"1981","S01001794","Flat",1
"1989","S01001794","Flat",0
"1982","S01001794","Flat",0
"1992","S01001794","Flat",0
"1983","S01001794","Flat",0
"2004","S01001794","Flat",0
"1984","S01001794","Flat",0
"2005","S01001794","Flat",0
"1990","S01001794","Flat",0
"2003","S01001794","Flat",1
"1985","S01001794","Flat",1
"2002","S01001794","Flat",0
"1998","S01001794","Flat",0
"1999","S01001794","Flat",2
"1986","S01001794","Flat",1
"2000","S01001794","Flat",0
"2001","S01001794","Flat",0
"1993","S01001794","Flat",0
"1987","S01001794","House",5
"1994","S01001794","House",1
"2004","S01001794","House",0
